"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1748","LoginTest","All Test Suite","Sun Nov 16 23:16:05 IST 2025","passed","Sun Nov 16 23:16:07 IST 2025","SuccessfulLoginPage","SauceLabDemo","SuccessfulLoginPage","LoginTest"
"","737","InvalidCredential","All Test Suite","Sun Nov 16 23:16:01 IST 2025","passed","Sun Nov 16 23:16:02 IST 2025","InvalidCredandDetailsPage","SauceLabDemo","InvalidCredandDetailsPage","InvalidCredential"
